frame.time_epoch,ip.src,ip.dst,ip.len
"1628092716.261604000","10.0.0.2","10.0.0.10","311"
"1628092717.264644000","10.0.0.2","10.0.0.10","311"
"1628092718.267132000","10.0.0.2","10.0.0.10","311"
"1628092719.270445000","10.0.0.2","10.0.0.10","311"
"1628092720.287949000","10.0.0.2","10.0.0.10","311"
"1628092721.292785000","10.0.0.2","10.0.0.10","311"
"1628092722.294854000","10.0.0.2","10.0.0.10","311"
"1628092723.296406000","10.0.0.2","10.0.0.10","311"
"1628092724.297610000","10.0.0.2","10.0.0.10","311"
"1628092725.298621000","10.0.0.2","10.0.0.10","311"
"1628092726.299930000","10.0.0.2","10.0.0.10","311"
"1628092727.302402000","10.0.0.2","10.0.0.10","311"
"1628092728.303156000","10.0.0.2","10.0.0.10","311"
"1628092729.307732000","10.0.0.2","10.0.0.10","311"
"1628092730.309770000","10.0.0.2","10.0.0.10","311"
"1628092731.311600000","10.0.0.2","10.0.0.10","311"
"1628092732.315610000","10.0.0.2","10.0.0.10","311"
"1628092733.317284000","10.0.0.2","10.0.0.10","311"
"1628092734.321758000","10.0.0.2","10.0.0.10","311"
"1628092735.324366000","10.0.0.2","10.0.0.10","311"
"1628092736.332469000","10.0.0.2","10.0.0.10","311"
"1628092737.333810000","10.0.0.2","10.0.0.10","311"
"1628092738.336546000","10.0.0.2","10.0.0.10","311"
"1628092739.338747000","10.0.0.2","10.0.0.10","311"
"1628092740.339174000","10.0.0.2","10.0.0.10","311"
"1628092741.339623000","10.0.0.2","10.0.0.10","311"
"1628092742.348079000","10.0.0.2","10.0.0.10","311"
"1628092743.353864000","10.0.0.2","10.0.0.10","311"
"1628092744.373627000","10.0.0.2","10.0.0.10","311"
"1628092745.374812000","10.0.0.2","10.0.0.10","311"
"1628092746.377722000","10.0.0.2","10.0.0.10","311"
"1628092747.384084000","10.0.0.2","10.0.0.10","311"
"1628092748.391469000","10.0.0.2","10.0.0.10","311"
"1628092749.392617000","10.0.0.2","10.0.0.10","311"
"1628092750.394744000","10.0.0.2","10.0.0.10","311"
"1628092751.398019000","10.0.0.2","10.0.0.10","311"
"1628092752.399585000","10.0.0.2","10.0.0.10","311"
