frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1552411970.363457000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.363543000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.364668000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.365880000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.365968000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.367097000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.368302000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.368399000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.369513000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.370723000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.370815000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.371945000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.373157000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.373238000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.374362000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.375581000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.375664000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.376790000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.377998000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.378087000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.379211000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.380421000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.380514000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.381634000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.382849000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.382934000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.384058000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.385262000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.385349000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.386468000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.387688000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.387774000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.388903000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.390119000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.390199000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.391327000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.392539000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.392614000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.393743000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.394958000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.395045000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.396168000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.397381000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.397440000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.398587000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.399802000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.399870000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.401015000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.402227000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.402301000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.403439000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.404645000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.404721000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.405854000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.407061000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.407152000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.408272000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.409483000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.409567000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.410693000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.411904000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.412000000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.413115000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.414335000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.414414000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.415542000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.416754000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.416844000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.417965000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.419174000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.419266000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.420396000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.421605000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.421689000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.422827000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.424022000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.424114000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.425238000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.426438000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.426521000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.427663000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.428868000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.428959000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.430077000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.431294000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.431381000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.432505000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.433717000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.433797000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.434924000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.436135000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.436225000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.437347000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.438562000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.438644000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.439774000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.440979000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.441071000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.442196000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.443400000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.443495000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.444611000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.445830000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.445909000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.447034000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.448251000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.448326000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.449456000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.450673000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.450745000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.451892000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.453097000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.453168000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.454306000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.455509000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.455596000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.456720000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.457931000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.458021000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.459141000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.460348000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.460450000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.461565000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.462776000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.462882000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.464001000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.465198000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.465295000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.466403000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.467630000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.467719000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.468842000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.470047000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.470132000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.471263000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.472469000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.472560000","10.2.0.0","10.1.0.0","52","0","1"
"1552411970.473685000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411970.474898000","10.1.0.0","10.2.0.0","1500","1448","1"
